CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
25011669;E EST DE CURSO NORMAL EM NIVEL MEDIO SAO JOSE;PB;São José de Piranhas;Estadual;Urbana;44;De 31 a 60 alunos;34;77.27;0;De 40% a 60%;Baixo;Maior que 50%;52.50;80.60;13.20;6.20;487.84;474.46;32.35;58.82;8.82;0.00;0.00
25023187;EEEFM MARIA DE LOURDES MEIRA;PB;São José do Bonfim;Estadual;Urbana;30;De 1 a 30 alunos;18;60.00;0;80% ou mais;Baixo;Até 50%;47.20;89.50;2.40;8.10;;466.84;44.44;44.44;11.11;0.00;0.00
25001302;EEEFM OLIVIA SARAIVA MAIA;PB;São José do Brejo do Cruz;Estadual;Urbana;15;De 1 a 30 alunos;13;86.67;0;De 60% a 80%;Médio Baixo;Até 50%;37.80;100.00;0.00;0.00;;465.92;30.77;61.54;7.69;0.00;0.00
25039504;EEEFM OLAVO BILAC;PB;São José do Sabugi;Estadual;Urbana;59;De 31 a 60 alunos;36;61.02;1;De 40% a 60%;Médio Baixo;Maior que 50%;57.40;83.60;1.90;14.50;473.36;457.01;38.89;61.11;0.00;0.00;0.00
25047450;EEEFM BARTOLOMEU MARACAJA;PB;São José dos Cordeiros;Estadual;Urbana;15;De 1 a 30 alunos;15;100.00;0;80% ou mais;Médio Baixo;Maior que 50%;61.80;93.70;5.10;1.20;;470.33;53.33;46.67;0.00;0.00;0.00
25039997;EEEFM NAPOLEAO ABDON DA NOBREGA;PB;São Mamede;Estadual;Urbana;64;De 61 a 90 alunos;56;87.50;2;80% ou mais;Médio Baixo;Maior que 50%;58.70;94.40;2.10;3.50;536.97;489.95;26.79;53.57;19.64;0.00;0.00
25089552;EEEFM MARIA LINS;PB;São Miguel de Taipu;Estadual;Urbana;73;De 61 a 90 alunos;38;52.05;0;De 40% a 60%;Baixo;Até 50%;36.90;77.90;4.20;17.90;494.28;468.41;31.58;60.53;7.89;0.00;0.00
25062220;EEEFM MONS JOSE BORGES;PB;São Sebastião de Lagoa de Roça;Estadual;Rural;97;Maior que 90 alunos;69;71.13;0;80% ou mais;Médio Baixo;Maior que 50%;81.50;82.00;7.80;10.20;532.84;471.54;36.23;50.72;13.04;0.00;0.00
25048350;EEEFM MALAQUIAS BATISTA FEITOSA;PB;São Sebastião do Umbuzeiro;Estadual;Urbana;20;De 1 a 30 alunos;11;55.00;0;De 60% a 80%;Médio Baixo;Até 50%;32.40;86.00;5.80;8.20;;446.59;54.55;45.45;0.00;0.00;0.00
25135406;COLEGIO E CURSO ALBERT EINSTEIN;PB;Sapé;Privada;Urbana;22;De 1 a 30 alunos;17;77.27;0;80% ou mais;Médio Alto;Até 50%;46.20;88.70;11.30;0.00;;514.76;11.76;58.82;29.41;0.00;0.00
25089820;EEEFM GENTIL LINS;PB;Sapé;Estadual;Urbana;48;De 31 a 60 alunos;29;60.42;0;80% ou mais;Médio Baixo;Até 50%;44.10;86.50;6.50;7.00;;483.41;20.69;75.86;3.45;0.00;0.00
25089781;EEEFM MONS ODILON ALVES PEDROSA;PB;Sapé;Estadual;Urbana;298;Maior que 90 alunos;154;51.68;0;De 60% a 80%;Médio Baixo;Até 50%;49.10;78.30;14.70;7.00;560.84;476.11;31.82;57.14;11.04;0.00;0.00
