CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
52027570;COLEGIO ESTADUAL MARIA BARRETO;GO;Israelândia;Estadual;Urbana;32;De 31 a 60 alunos;29;90,63;1;80% ou mais;Médio;Maior que 50%;54,30;93,40;4,40;2,20;;422,69;62,07;34,48;3,45;0,00;0,00
52069060;COLEGIO ESTADUAL PRE VESTIBULAR DE ITABERAI;GO;Itaberaí;Estadual;Urbana;152;Maior que 90 alunos;105;69,08;3;De 60% a 80%;Médio;Maior que 50%;62,20;94,20;4,60;1,20;549,94;447,93;55,24;32,38;11,43;0,95;0,00
52023400;EDUCANDARIO EVANGELICO DURVAL R PIRES;GO;Itaberaí;Privada;Urbana;35;De 31 a 60 alunos;30;85,71;0;80% ou mais;Médio Alto;Até 50%;45,70;100,00;0,00;0,00;547,36;547,36;26,67;30,00;20,00;23,33;0,00
52179206;INSTITUTO DE EDUCACAO ALIANCA;GO;Itaberaí;Privada;Urbana;15;De 1 a 30 alunos;14;93,33;0;De 60% a 80%;Médio Alto;Até 50%;50,00;97,80;2,20;0,00;;512,39;28,57;50,00;21,43;0,00;0,00
52023389;COLEGIO ESTADUAL HONESTINO MONTEIRO GUIMARAES;GO;Itaberaí;Estadual;Urbana;236;Maior que 90 alunos;147;62,29;5;80% ou mais;Médio Baixo;Até 50%;44,10;91,10;2,80;6,10;565,37;447,92;59,18;31,97;6,12;2,04;0,68
52024040;COLEGIO ESTADUAL D GENOVEVA REZENDE CARNEIRO;GO;Itaguari;Estadual;Urbana;59;De 31 a 60 alunos;32;54,24;0;80% ou mais;Médio;Até 50%;36,10;91,00;1,50;7,50;432,90;425,98;71,88;25,00;3,13;0,00;0,00
52024164;COLEGIO ESTADUAL ARTUR DA COSTA E SILVA;GO;Itaguaru;Estadual;Urbana;56;De 31 a 60 alunos;44;78,57;1;80% ou mais;Médio Baixo;Até 50%;45,50;90,80;4,60;4,60;518,01;475,32;45,45;34,09;15,91;4,55;0,00
52067351;COLEGIO ESTADUAL PRESIDENTE CASTELO BRANCO;GO;Itajá;Estadual;Urbana;39;De 31 a 60 alunos;22;56,41;0;De 60% a 80%;Médio;Até 50%;22,10;94,40;3,40;2,20;;434,38;68,18;22,73;9,09;0,00;0,00
52017303;COLEGIO ASSUNCAO;GO;Itapaci;Privada;Urbana;55;De 31 a 60 alunos;48;87,27;1;De 60% a 80%;Médio Alto;Até 50%;33,60;94,50;4,60;0,90;531,87;476,73;37,50;39,58;20,83;2,08;0,00
52017311;COLEGIO ESTADUAL GERALDA ANDRADE MARTINS;GO;Itapaci;Estadual;Urbana;118;Maior que 90 alunos;61;51,69;1;De 60% a 80%;Médio Baixo;Até 50%;42,70;76,20;17,60;6,20;491,91;438,30;67,21;21,31;11,48;0,00;0,00
52084914;COLEGIO MONTEIRO LOBATO;GO;Itapuranga;Privada;Urbana;10;De 1 a 30 alunos;10;100,00;0;80% ou mais;Médio Alto;Até 50%;41,20;100,00;0,00;0,00;;554,37;20,00;40,00;30,00;0,00;10,00
52017583;COLEGIO ESTADUAL DEPUTADO JOSE ALVES DE ASSIS;GO;Itapuranga;Estadual;Urbana;183;Maior que 90 alunos;126;68,85;5;80% ou mais;Médio Baixo;Maior que 50%;58,40;86,70;7,10;6,20;580,93;461,50;49,21;37,30;10,32;2,38;0,79
52017575;COLEGIO ESTADUAL DE ITAPURANGA;GO;Itapuranga;Estadual;Urbana;92;Maior que 90 alunos;58;63,04;2;De 60% a 80%;Médio;Até 50%;44,50;76,40;14,10;9,50;498,25;439,17;65,52;24,14;5,17;3,45;1,72
52067459;COLEGIO ESTADUAL COELHO NETO;GO;Itarumã;Estadual;Urbana;43;De 31 a 60 alunos;23;53,49;0;De 60% a 80%;Médio Alto;Até 50%;31,30;72,70;13,40;13,90;;436,13;65,22;26,09;4,35;4,35;0,00
52024369;COLEGIO ESTADUAL DE ITAUCU;GO;Itauçu;Estadual;Urbana;64;De 61 a 90 alunos;46;71,88;1;De 60% a 80%;Médio;Maior que 50%;59,70;86,70;5,00;8,30;473,68;432,67;67,39;21,74;8,70;2,17;0,00
52059383;COLEGIO ZENITE;GO;Itumbiara;Privada;Urbana;27;De 1 a 30 alunos;22;81,48;0;De 60% a 80%;Muito alto;Maior que 50%;66,70;96,20;3,80;0,00;;589,08;18,18;22,73;27,27;22,73;9,09
52059472;COLEGIO ESTADUAL DAMORES DO AMARAL MEDEIROS;GO;Itumbiara;Estadual;Urbana;52;De 31 a 60 alunos;27;51,92;0;De 40% a 60%;Médio;Até 50%;26,10;99,30;0,70;0,00;;457,79;48,15;33,33;14,81;3,70;0,00
52059910;COLEGIO ESTADUAL EMILIA MARIA GUIMARAES;GO;Itumbiara;Estadual;Urbana;47;De 31 a 60 alunos;27;57,45;4;80% ou mais;Médio;Até 50%;50,00;92,10;4,30;3,60;;441,25;59,26;25,93;14,81;0,00;0,00
52059545;COLEGIO ESTADUAL FELIX DE ALMEIDA;GO;Itumbiara;Estadual;Urbana;33;De 31 a 60 alunos;17;51,52;0;De 20% a 40%;Médio Alto;Até 50%;37,60;91,20;3,70;5,10;;456,59;47,06;35,29;17,65;0,00;0,00
