CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
43082025;ESC EST ENSINO MEDIO FRANCISCO ARGENTA;RS;Lagoa Vermelha;Estadual;Urbana;78;De 61 a 90 alunos;49;62.82;1;80% ou mais;Médio Alto;Até 50%;42.70;74.90;12.90;12.20;500.26;466.58;34.69;61.22;4.08;0.00;0.00
43081967;ESC EST ENS MEDIO PRESIDENTE KENNEDY;RS;Lagoa Vermelha;Estadual;Urbana;26;De 1 a 30 alunos;15;57.69;0;80% ou mais;Médio Alto;Maior que 50%;54.70;82.70;11.50;5.80;;463.39;40.00;53.33;6.67;0.00;0.00
43081924;ESCOLA DE ENSINO MEDIO DUQUE DE CAXIAS - CECLEA;RS;Lagoa Vermelha;Privada;Urbana;14;De 1 a 30 alunos;10;71.43;0;80% ou mais;Alto;Até 50%;46.20;93.10;6.90;0.00;;477.07;30.00;60.00;10.00;0.00;0.00
43081304;ESC EST ENS MED DR ARABY AUGUSTO NACUL;RS;Lagoa Vermelha;Estadual;Urbana;125;Maior que 90 alunos;88;70.40;0;80% ou mais;Médio Alto;Maior que 50%;61.80;86.60;11.40;2.00;526.02;467.21;43.18;47.73;9.09;0.00;0.00
43081860;COLEGIO BOM JESUS RAINHA DA PAZ;RS;Lagoa Vermelha;Privada;Urbana;20;De 1 a 30 alunos;17;85.00;0;80% ou mais;Alto;Maior que 50%;78.60;98.50;1.50;0.00;;568.84;0.00;35.29;64.71;0.00;0.00
43083552;ESC EST DE EDUC BASICA ERICO VERISSIMO;RS;Lajeado;Estadual;Urbana;184;Maior que 90 alunos;95;51.63;7;80% ou mais;Alto;Maior que 50%;54.20;74.20;14.80;11.00;550.44;483.91;27.37;60.00;12.63;0.00;0.00
43082564;COLEGIO EVANGELICO ALBERTO TORRES;RS;Lajeado;Privada;Urbana;55;De 31 a 60 alunos;53;96.36;1;80% ou mais;Muito alto;Maior que 50%;85.00;87.40;12.60;0.00;638.56;597.57;0.00;20.75;62.26;16.98;0.00
43083595;COLEGIO CENECISTA JOAO BATISTA DE MELLO;RS;Lajeado;Privada;Urbana;34;De 31 a 60 alunos;31;91.18;0;80% ou mais;Alto;Até 50%;30.00;87.50;11.40;1.10;545.67;541.71;3.23;41.94;54.84;0.00;0.00
43083536;COLEGIO SINODAL GUSTAVO ADOLFO;RS;Lajeado;Privada;Urbana;39;De 31 a 60 alunos;39;100.00;0;80% ou mais;Muito alto;Maior que 50%;70.70;94.10;5.90;0.00;564.62;541.56;7.69;46.15;43.59;2.56;0.00
43083277;COLEGIO SINODAL CONVENTOS;RS;Lajeado;Privada;Urbana;23;De 1 a 30 alunos;20;86.96;1;80% ou mais;Alto;Até 50%;47.40;87.70;12.30;0.00;;538.10;20.00;25.00;50.00;5.00;0.00
