CÓDIGO DA ENTIDADE;NOME DA ENTIDADE;SIGLA DA UF;NOME MUNICÍPIO;DEPENDÊNCIA ADMINISTRATIVA;LOCALIZACAO;NÚMERO DE ALUNOS NO CENSO;PORTE DA ESCOLA;NÚMERO DE PARTICIPANTES NO ENEM POR ESCOLA;TAXA DE PARTICIPAÇÃO;NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS;INDICADOR DE PERMANÊNCIA NA ESCOLA;INDICADOR DE NÍVEL SÓCIOECONOMICO;FAIXA - INDICADOR DE FORMAÇÃO DOCENTE;INDICADOR DE FORMAÇÃO DOCENTE;TAXA DE APROVAÇÃO;TAXA DE REPROVAÇÃO;TAXA DE ABANDONO;MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA;MÉDIA ESCOLA;Percentual alunos NÍVEL 1;Percentual alunos NÍVEL 2;Percentual alunos NÍVEL 3;Percentual alunos NÍVEL 4;Percentual alunos NÍVEL 5
42142822;EXATHUM CURSO E COLEGIO;SC;Joinville;Privada;Urbana;153;Maior que 90 alunos;136;88.89;0;De 40% a 60%;Muito alto;Maior que 50%;74.30;99.40;0.30;0.30;780.67;610.00;16.18;25.74;33.82;16.18;8.09
42139546;SENAI SC JOINVILLE NORTE II;SC;Joinville;Privada;Urbana;169;Maior que 90 alunos;147;86.98;0;Menos de 20%;Sem informação;Até 50%;48.10;97.50;2.50;0.00;778.00;612.52;14.29;27.21;33.33;19.73;5.44
42020549;COLEGIO CENECISTA JOSE ELIAS MOREIRA;SC;Joinville;Privada;Urbana;179;Maior que 90 alunos;140;78.21;0;De 60% a 80%;Muito alto;Até 50%;42.10;96.10;3.70;0.20;800.67;630.43;7.86;32.86;30.71;17.86;10.71
42020832;EEB PROF RUDOLFO MEYER;SC;Joinville;Estadual;Urbana;152;Maior que 90 alunos;76;50.00;1;De 60% a 80%;Alto;Maior que 50%;68.60;94.40;2.80;2.80;616.00;511.84;28.95;47.37;21.05;1.32;1.32
42020514;EEB PROF JOAO MARTINS VERAS;SC;Joinville;Estadual;Urbana;83;De 61 a 90 alunos;65;78.31;0;De 60% a 80%;Alto;Maior que 50%;68.60;86.80;11.50;1.70;628.00;538.15;32.31;38.46;23.08;1.54;4.62
42024498;EEB JOSE CLEMENTE PEREIRA;SC;José Boiteux;Estadual;Urbana;34;De 31 a 60 alunos;24;70.59;0;80% ou mais;Médio Alto;Até 50%;41.70;80.30;15.00;4.70;;552.50;12.50;62.50;25.00;0.00;0.00
42086272;EEB MARIA MADALENA DE MOURA FERRO;SC;Jupiá;Estadual;Urbana;26;De 1 a 30 alunos;18;69.23;0;80% ou mais;Médio;Maior que 50%;68.10;91.80;0.90;7.30;;502.22;50.00;22.22;16.67;11.11;0.00
42047331;EEB JOAQUIM D AGOSTINI;SC;Lacerdópolis;Estadual;Urbana;33;De 31 a 60 alunos;25;75.76;0;80% ou mais;Médio Alto;Maior que 50%;56.70;97.80;2.20;0.00;;580.00;16.00;36.00;16.00;24.00;8.00
42029953;ESCOLA DE EDUCACAO BASICA INDUSTRIAL DE LAGES;SC;Lages;Estadual;Urbana;152;Maior que 90 alunos;87;57.24;0;De 60% a 80%;Alto;Maior que 50%;65.50;58.50;20.60;20.90;622.67;527.82;29.89;47.13;19.54;2.30;1.15
42143357;SOCIEDADE DE ENS SANTA BARBARA;SC;Lages;Privada;Urbana;32;De 31 a 60 alunos;25;78.13;0;80% ou mais;Muito alto;Até 50%;32.60;91.00;9.00;0.00;;549.60;36.00;24.00;32.00;8.00;0.00
42029945;EEB NS DO ROSARIO;SC;Lages;Estadual;Urbana;181;Maior que 90 alunos;111;61.33;1;De 60% a 80%;Alto;Maior que 50%;51.70;68.20;22.10;9.70;637.33;521.62;36.94;40.54;20.72;0.90;0.90
42143969;COLEGIO OBJETIVO LAGES;SC;Lages;Privada;Urbana;89;De 61 a 90 alunos;73;82.02;0;De 40% a 60%;Muito alto;Até 50%;33.80;99.10;0.90;0.00;747.33;642.74;5.48;26.03;32.88;24.66;10.96
42028507;EEB BELISARIO RAMOS;SC;Lages;Estadual;Urbana;23;De 1 a 30 alunos;13;56.52;1;De 60% a 80%;Alto;Maior que 50%;61.90;68.00;19.50;12.50;;556.92;23.08;46.15;23.08;7.69;0.00
42030447;EEB ZULMIRA AUTA DA SILVA;SC;Lages;Estadual;Urbana;35;De 31 a 60 alunos;18;51.43;2;De 60% a 80%;Médio Alto;Até 50%;40.30;45.30;41.60;13.10;;488.89;44.44;50.00;5.56;0.00;0.00
42029961;CEDUP RENATO RAMOS DA SILVA;SC;Lages;Estadual;Urbana;86;De 61 a 90 alunos;76;88.37;0;80% ou mais;Alto;Maior que 50%;52.60;91.60;7.70;0.70;643.33;553.42;22.37;42.11;27.63;6.58;1.32
